model,framework,data_pct,feature,P,R,F
lv_spacy_cnn_20pct,CNN,20,PronType,0.9969904240766074,0.9972632731253421,0.9971268299356957
lv_spacy_cnn_20pct,CNN,20,Evident,0.9938994631527575,0.9926882768705825,0.9932935007925863
lv_spacy_cnn_20pct,CNN,20,Mood,0.9937555753791257,0.9924276169265034,0.9930911522175172
lv_spacy_cnn_20pct,CNN,20,Polarity,0.9940493468795356,0.9936167126069926,0.9938329826597984
lv_spacy_cnn_20pct,CNN,20,Tense,0.9920450135816842,0.9903157079217509,0.9911796064747505
lv_spacy_cnn_20pct,CNN,20,VerbForm,0.9932083271814558,0.992622104175889,0.9929151291512914
lv_spacy_cnn_20pct,CNN,20,Voice,0.9938650306748467,0.9920749279538905,0.9929691725256896
lv_spacy_cnn_20pct,CNN,20,Definite,0.9891107078039928,0.9876766944545124,0.9883931809938339
lv_spacy_cnn_20pct,CNN,20,Degree,0.9921807124239791,0.9896013864818024,0.9908893709327549
lv_spacy_cnn_20pct,CNN,20,Poss,0.994413407821229,0.994413407821229,0.994413407821229
lv_spacy_cnn_20pct,CNN,20,Reflex,0.995571302037201,0.9938107869142352,0.9946902654867256
lv_spacy_cnn_20pct,CNN,20,Aspect,0.9918616480162767,0.9888438133874239,0.9903504316912138
lv_spacy_cnn_20pct,CNN,20,NumType,0.8752834467120182,0.706959706959707,0.7821681864235056
lv_spacy_cnn_20pct,CNN,20,Foreign,0.9384615384615385,0.9242424242424242,0.9312977099236641
lv_spacy_cnn_20pct,CNN,20,Abbr,0.8333333333333334,0.9210526315789473,0.875
lv_spacy_cnn_20pct,CNN,20,Typo,1.0,1.0,1.0
lv_spacy_cnn_50pct,CNN,50,ExtPos,1.0,1.0,1.0
lv_spacy_cnn_50pct,CNN,50,Case,0.9965777262180975,0.9952499565544807,0.9959133988348838
lv_spacy_cnn_50pct,CNN,50,Gender,0.9972554281532081,0.9956765314821581,0.9964653543786947
lv_spacy_cnn_50pct,CNN,50,Number,0.9981079066567284,0.9958810068649886,0.9969932132527706
lv_spacy_cnn_50pct,CNN,50,Person,0.9990622655663915,0.9958870816975135,0.9974721468027338
lv_spacy_cnn_50pct,CNN,50,PronType,1.0,0.9986241056686846,0.9993115792372298
lv_spacy_cnn_50pct,CNN,50,Evident,0.9986716259298618,0.9949708840656432,0.9968178202068416
lv_spacy_cnn_50pct,CNN,50,Mood,0.9987878787878788,0.9954095192075381,0.9970958373668924
lv_spacy_cnn_50pct,CNN,50,Polarity,0.99865571321882,0.9962747727611384,0.997463822169178
lv_spacy_cnn_50pct,CNN,50,Tense,0.9986304050088045,0.9953198127925117,0.996972360582088
