model,feature,p,r,f
lv_spacy_cnn_100pct,PronType,0.9851748252,0.9772475028,0.9811951525
lv_spacy_cnn_100pct,Evident,0.9486057955,0.9233634912,0.9358144552
lv_spacy_cnn_100pct,Mood,0.9389694847,0.9133819951,0.9259990133
lv_spacy_cnn_100pct,Polarity,0.942070853,0.9229852525,0.9324303988
lv_spacy_cnn_100pct,Tense,0.9132867133,0.8836265223,0.8982118294
lv_spacy_cnn_100pct,VerbForm,0.9280964899,0.9089807663,0.9184391737
lv_spacy_cnn_100pct,Voice,0.9401309635,0.90917315,0.924392936
lv_spacy_cnn_100pct,Definite,0.9014037433,0.8722509702,0.8865877712
lv_spacy_cnn_100pct,Degree,0.9257521391,0.9033126852,0.9143947655
lv_spacy_cnn_100pct,Poss,1.0,0.9677419355,0.9836065574
lv_spacy_cnn_100pct,NumType,0.9753787879,0.7686567164,0.8597662771
lv_spacy_cnn_100pct,Reflex,0.9453551913,0.928111588,0.9366540336
lv_spacy_cnn_100pct,Aspect,0.8845208845,0.8444096951,0.864
lv_spacy_cnn_100pct,Foreign,0.8455284553,0.5473684211,0.6645367412
lv_spacy_cnn_100pct,Typo,0.0,0.0,0.0
lv_spacy_cnn_100pct,Abbr,0.9175257732,0.8127853881,0.8619854722
lv_xlmr_base_1pct,ExtPos,0.8720930233,0.5357142857,0.6637168142
lv_xlmr_base_1pct,Case,0.8697922711,0.8734413239,0.8716129783
lv_xlmr_base_1pct,Gender,0.8133910077,0.8171746848,0.8152784563
lv_xlmr_base_1pct,Number,0.8802292264,0.8793725311,0.8798006702
lv_xlmr_base_1pct,Person,0.8950745424,0.8870394614,0.8910388878
lv_xlmr_base_1pct,PronType,0.9041218638,0.839900111,0.8708285386
lv_xlmr_base_1pct,Evident,0.9206432903,0.929217669,0.9249106079
lv_xlmr_base_1pct,Mood,0.9100850547,0.9111922141,0.9106382979
lv_xlmr_base_1pct,Polarity,0.9272036474,0.9088336064,0.9179267284
lv_xlmr_base_1pct,Tense,0.7965070644,0.7846510729,0.7905346188
lv_xlmr_base_1pct,VerbForm,0.9106455092,0.8951991519,0.90285627
lv_xlmr_base_1pct,Voice,0.9210040605,0.9028406007,0.9118318867
lv_xlmr_base_1pct,Definite,0.7624918884,0.7600258732,0.7612568837
lv_xlmr_base_1pct,Degree,0.8626038781,0.8386749259,0.8504711184
lv_xlmr_base_1pct,Poss,0.8881987578,0.7688172043,0.8242074928
lv_xlmr_base_1pct,NumType,0.8832951945,0.576119403,0.6973803071
lv_xlmr_base_1pct,Reflex,0.8786206897,0.6834763948,0.7688593844
lv_xlmr_base_1pct,Aspect,0.7884780739,0.71696638,0.751023751
lv_xlmr_base_1pct,Typo,0.0,0.0,0.0
lv_xlmr_base_1pct,Foreign,0.0,0.0,0.0
lv_xlmr_base_1pct,Abbr,1.0,0.0136986301,0.027027027
lv_xlmr_base_5pct,ExtPos,0.8571428571,0.7714285714,0.8120300752
lv_xlmr_base_5pct,Case,0.9344837672,0.930835567,0.9326560995
lv_xlmr_base_5pct,Gender,0.8988501506,0.8947239564,0.8967823073
lv_xlmr_base_5pct,Number,0.9362607046,0.9326157898,0.9344346928
lv_xlmr_base_5pct,Person,0.9565054368,0.954179914,0.9553412602
lv_xlmr_base_5pct,PronType,0.9596728708,0.9442286349,0.9518881119
lv_xlmr_base_5pct,Evident,0.9604564756,0.9630122406,0.9617326601
lv_xlmr_base_5pct,Mood,0.9501943635,0.9515815085,0.9508874301
lv_xlmr_base_5pct,Polarity,0.9635135135,0.9559064502,0.9596949076
lv_xlmr_base_5pct,Tense,0.8918236551,0.8876860622,0.8897500484
lv_xlmr_base_5pct,VerbForm,0.9595190991,0.9548689989,0.9571884014
lv_xlmr_base_5pct,Voice,0.9601528384,0.954767505,0.9574525991
lv_xlmr_base_5pct,Definite,0.8773921505,0.8748382924,0.8761133603
lv_xlmr_base_5pct,Degree,0.9370229008,0.9256665769,0.9313101206
lv_xlmr_base_5pct,Poss,0.9880239521,0.8870967742,0.9348441926
lv_xlmr_base_5pct,NumType,0.9271255061,0.6835820896,0.7869415808
lv_xlmr_base_5pct,Reflex,0.9015151515,0.893776824,0.8976293103
lv_xlmr_base_5pct,Aspect,0.8847962382,0.8827208757,0.8837573386
lv_xlmr_base_5pct,Foreign,0.8616352201,0.7210526316,0.7851002865
lv_xlmr_base_5pct,Typo,0.0,0.0,0.0
lv_xlmr_base_5pct,Abbr,0.9846153846,0.2922374429,0.4507042254
lv_xlmr_base_20pct,ExtPos,0.8872180451,0.8428571429,0.8644688645
lv_xlmr_base_20pct,Case,0.9631125944,0.9584547256,0.9607780147
lv_xlmr_base_20pct,Gender,0.9472357174,0.9427714531,0.9449983128
lv_xlmr_base_20pct,Number,0.9618127444,0.9574626438,0.9596327643
lv_xlmr_base_20pct,Person,0.9792570243,0.9711988031,0.9752112676
lv_xlmr_base_20pct,PronType,0.9790794979,0.973917869,0.9764918626
lv_xlmr_base_20pct,Evident,0.9842946114,0.9672698244,0.9757079587
lv_xlmr_base_20pct,Mood,0.975591716,0.9627737226,0.969140338
lv_xlmr_base_20pct,Polarity,0.9833707865,0.9778042604,0.9805796235
lv_xlmr_base_20pct,Tense,0.9469978486,0.9360139184,0.9414738479
lv_xlmr_base_20pct,VerbForm,0.9766945925,0.9710737544,0.9738760632
lv_xlmr_base_20pct,Voice,0.9786340394,0.9696037633,0.9740979733
lv_xlmr_base_20pct,Definite,0.9479267117,0.9537516171,0.9508302434
lv_xlmr_base_20pct,Degree,0.9661381349,0.9682197684,0.9671778316
lv_xlmr_base_20pct,Poss,0.972972973,0.9677419355,0.9703504043
lv_xlmr_base_20pct,NumType,0.9598470363,0.7492537313,0.8415758592
lv_xlmr_base_20pct,Reflex,0.9782372144,0.9645922747,0.9713668287
lv_xlmr_base_20pct,Aspect,0.9513343799,0.9476153245,0.9494712103
lv_xlmr_base_20pct,Foreign,0.9473684211,0.6631578947,0.7801857585
lv_xlmr_base_20pct,Typo,0.0,0.0,0.0
lv_xlmr_base_20pct,Abbr,0.9532163743,0.7442922374,0.8358974359
lv_xlmr_base_50pct,ExtPos,0.9197080292,0.9,0.9097472924
lv_xlmr_base_50pct,Case,0.9770243272,0.9688264771,0.9729081334
lv_xlmr_base_50pct,Gender,0.965943507,0.9565430285,0.9612202848
lv_xlmr_base_50pct,Number,0.9782533256,0.9683402988,0.9732715712
lv_xlmr_base_50pct,Person,0.9856630824,0.9771834674,0.9814049587
lv_xlmr_base_50pct,PronType,0.9840336134,0.9747502775,0.979369947
lv_xlmr_base_50pct,Evident,0.985038739,0.9811069718,0.9830689241
lv_xlmr_base_50pct,Mood,0.9825681316,0.9737226277,0.9781253819
lv_xlmr_base_50pct,Polarity,0.9902941616,0.9879338597,0.9891126025
lv_xlmr_base_50pct,Tense,0.9625048319,0.962690895,0.9625978545
lv_xlmr_base_50pct,VerbForm,0.9832928311,0.9804634257,0.9818760901
lv_xlmr_base_50pct,Voice,0.9856468023,0.981545142,0.9835916961
lv_xlmr_base_50pct,Definite,0.9695398574,0.9676584735,0.9685982519
lv_xlmr_base_50pct,Degree,0.9827073764,0.9795313762,0.981116806
lv_xlmr_base_50pct,Poss,1.0,0.9838709677,0.9918699187
lv_xlmr_base_50pct,NumType,0.9901960784,0.7537313433,0.8559322034
lv_xlmr_base_50pct,Reflex,0.9903017241,0.9860515021,0.988172043
lv_xlmr_base_50pct,Aspect,0.9689922481,0.977326036,0.9731413001
lv_xlmr_base_50pct,Foreign,0.9703703704,0.6894736842,0.8061538462
lv_xlmr_base_50pct,Typo,0.0,0.0,0.0
lv_xlmr_base_50pct,Abbr,0.9682539683,0.8356164384,0.8970588235
lv_xlmr_base_100pct,ExtPos,0.9015151515,0.85,0.875
lv_xlmr_base_100pct,Case,0.9789839289,0.9690012819,0.9739670269
lv_xlmr_base_100pct,Gender,0.9706027974,0.9599094136,0.9652264894
lv_xlmr_base_100pct,Number,0.9783840018,0.9691418103,0.9737409762
lv_xlmr_base_100pct,Person,0.9804731506,0.9766224051,0.9785439895
lv_xlmr_base_100pct,PronType,0.98457223,0.973917869,0.9792160692
lv_xlmr_base_100pct,Evident,0.9818908123,0.9811069718,0.9814987355
lv_xlmr_base_100pct,Mood,0.9737226277,0.9737226277,0.9737226277
lv_xlmr_base_100pct,Polarity,0.9873774874,0.9904662595,0.9889194616
lv_xlmr_base_100pct,Tense,0.962834585,0.9665571235,0.9646922632
lv_xlmr_base_100pct,VerbForm,0.9811292271,0.9842495835,0.9826869283
lv_xlmr_base_100pct,Voice,0.9825162221,0.9862493215,0.9843792325
lv_xlmr_base_100pct,Definite,0.9691119691,0.9741267788,0.9716129032
lv_xlmr_base_100pct,Degree,0.9814366425,0.9824939402,0.9819650067
lv_xlmr_base_100pct,Poss,1.0,0.9731182796,0.9863760218
lv_xlmr_base_100pct,NumType,0.9941176471,0.7567164179,0.8593220339
lv_xlmr_base_100pct,Reflex,0.9881847476,0.9871244635,0.987654321
lv_xlmr_base_100pct,Aspect,0.9683641975,0.9812353401,0.9747572816
lv_xlmr_base_100pct,Typo,0.0,0.0,0.0
lv_xlmr_base_100pct,Foreign,0.9545454545,0.7736842105,0.8546511628
lv_xlmr_base_100pct,Abbr,0.9384615385,0.8356164384,0.884057971
lv_xlmr_large_1pct,ExtPos,0.7959183673,0.5571428571,0.6554621849
lv_xlmr_large_1pct,Case,0.8798843112,0.8686050577,0.874208304
lv_xlmr_large_1pct,Gender,0.8397292598,0.8277022891,0.8336724
lv_xlmr_large_1pct,Number,0.8922960988,0.881261808,0.8867446281
lv_xlmr_large_1pct,Person,0.8872017354,0.9178978867,0.9022888133
lv_xlmr_large_1pct,PronType,0.9079365079,0.8729189789,0.890083463
lv_xlmr_large_1pct,Evident,0.8867118814,0.9393294305,0.9122625662
lv_xlmr_large_1pct,Mood,0.8689986283,0.9248175182,0.896039604
lv_xlmr_large_1pct,Polarity,0.9049204052,0.9314762401,0.9180063129
lv_xlmr_large_1pct,Tense,0.7627976749,0.7863908757,0.7744146202
lv_xlmr_large_1pct,VerbForm,0.8989010989,0.9291231259,0.9137622878
lv_xlmr_large_1pct,Voice,0.8944978166,0.9265424281,0.9102381799
lv_xlmr_large_1pct,Definite,0.7415364583,0.7367399741,0.7391304348
lv_xlmr_large_1pct,Degree,0.8815036775,0.8715324535,0.8764897075
lv_xlmr_large_1pct,Poss,0.9183673469,0.7258064516,0.8108108108
lv_xlmr_large_1pct,NumType,0.8358862144,0.5701492537,0.677905945
lv_xlmr_large_1pct,Reflex,0.7287543655,0.6716738197,0.6990508096
lv_xlmr_large_1pct,Aspect,0.8290456432,0.7810789679,0.8043478261
lv_xlmr_large_1pct,Foreign,0.0,0.0,0.0
lv_xlmr_large_1pct,Typo,0.0,0.0,0.0
lv_xlmr_large_1pct,Abbr,0.0,0.0,0.0
lv_xlmr_large_5pct,ExtPos,0.874015748,0.7928571429,0.8314606742
lv_xlmr_large_5pct,Case,0.9437715757,0.9398671484,0.9418153154
lv_xlmr_large_5pct,Gender,0.9141311697,0.9102705349,0.9121967676
lv_xlmr_large_5pct,Number,0.9437065149,0.9396003893,0.9416489758
lv_xlmr_large_5pct,Person,0.9617037175,0.9627828689,0.9622429907
lv_xlmr_large_5pct,PronType,0.9646464646,0.9539400666,0.9592633929
lv_xlmr_large_5pct,Evident,0.9667994688,0.9686003193,0.9676990562
lv_xlmr_large_5pct,Mood,0.9561743341,0.9608272506,0.9584951456
lv_xlmr_large_5pct,Polarity,0.9627255107,0.961865038,0.962295082
lv_xlmr_large_5pct,Tense,0.8923818708,0.8944519621,0.8934157173
lv_xlmr_large_5pct,VerbForm,0.9602839021,0.9630470998,0.9616635161
lv_xlmr_large_5pct,Voice,0.9578378378,0.9618237742,0.9598266679
lv_xlmr_large_5pct,Definite,0.8981782694,0.8929495472,0.8955562764
lv_xlmr_large_5pct,Degree,0.9490100353,0.9423646647,0.9456756757
lv_xlmr_large_5pct,Poss,0.9942528736,0.9301075269,0.9611111111
lv_xlmr_large_5pct,NumType,0.9555084746,0.6731343284,0.7898423818
lv_xlmr_large_5pct,Reflex,0.9431171786,0.8894849785,0.9155162893
lv_xlmr_large_5pct,Aspect,0.9059561129,0.9038311181,0.9048923679
lv_xlmr_large_5pct,Foreign,0.8476821192,0.6736842105,0.7507331378
lv_xlmr_large_5pct,Typo,0.0,0.0,0.0
lv_xlmr_large_5pct,Abbr,1.0,0.2283105023,0.3717472119
lv_xlmr_large_20pct,ExtPos,0.9202898551,0.9071428571,0.9136690647
lv_xlmr_large_20pct,Case,0.9721521956,0.9662044051,0.969169175
lv_xlmr_large_20pct,Gender,0.9587260519,0.9525645734,0.9556353812
lv_xlmr_large_20pct,Number,0.9706932289,0.965191504,0.9679345486
lv_xlmr_large_20pct,Person,0.9831334333,0.9811109033,0.982121127
lv_xlmr_large_20pct,PronType,0.9835471277,0.9786348502,0.9810848401
lv_xlmr_large_20pct,Evident,0.9856115108,0.9843001597,0.9849553987
lv_xlmr_large_20pct,Mood,0.9802342606,0.9773722628,0.9788011696
lv_xlmr_large_20pct,Polarity,0.9880579191,0.9859973186,0.9870265434
lv_xlmr_large_20pct,Tense,0.9568498452,0.9559249952,0.9563871966
lv_xlmr_large_20pct,VerbForm,0.9828502049,0.9807663183,0.9818071559
lv_xlmr_large_20pct,Voice,0.9825897715,0.9802786322,0.9814328412
lv_xlmr_large_20pct,Definite,0.9507672634,0.9618369987,0.9562700965
lv_xlmr_large_20pct,Degree,0.9755507792,0.9779154323,0.9767316745
lv_xlmr_large_20pct,Poss,0.9945355191,0.9784946237,0.9864498645
lv_xlmr_large_20pct,NumType,0.9647058824,0.7343283582,0.8338983051
lv_xlmr_large_20pct,Reflex,0.9826275787,0.9710300429,0.9767943875
lv_xlmr_large_20pct,Aspect,0.9693154996,0.963252541,0.9662745098
lv_xlmr_large_20pct,Foreign,0.867816092,0.7947368421,0.8296703297
lv_xlmr_large_20pct,Typo,0.5,0.0192307692,0.037037037
lv_xlmr_large_20pct,Abbr,0.9352941176,0.7260273973,0.8174807198
lv_xlmr_large_50pct,ExtPos,0.9275362319,0.9142857143,0.9208633094
lv_xlmr_large_50pct,Case,0.9824633673,0.9727887193,0.977602108
lv_xlmr_large_50pct,Gender,0.9722737963,0.9615620027,0.9668882324
lv_xlmr_large_50pct,Number,0.9824368825,0.9735501231,0.9779733149
lv_xlmr_large_50pct,Person,0.983889097,0.9822330279,0.983060365
lv_xlmr_large_50pct,PronType,0.9852203012,0.980299667,0.9827538248
lv_xlmr_large_50pct,Evident,0.9830777366,0.9893560404,0.9862068966
lv_xlmr_large_50pct,Mood,0.9800777454,0.9815085158,0.9807926088
lv_xlmr_large_50pct,Polarity,0.9923914665,0.9909131536,0.9916517591
lv_xlmr_large_50pct,Tense,0.9658828065,0.9686835492,0.9672811505
lv_xlmr_large_50pct,VerbForm,0.9884743706,0.9871270635,0.9878002576
lv_xlmr_large_50pct,Voice,0.9893154654,0.9884204813,0.9888677708
lv_xlmr_large_50pct,Definite,0.975641442,0.9715394567,0.9735861287
lv_xlmr_large_50pct,Degree,0.9872972973,0.9838405602,0.9855658977
lv_xlmr_large_50pct,Poss,0.9945652174,0.9838709677,0.9891891892
lv_xlmr_large_50pct,NumType,0.9941972921,0.7671641791,0.8660488627
lv_xlmr_large_50pct,Reflex,0.9840595112,0.9935622318,0.9887880406
lv_xlmr_large_50pct,Aspect,0.9818468824,0.972634871,0.9772191673
lv_xlmr_large_50pct,Foreign,0.9466666667,0.7473684211,0.8352941176
lv_xlmr_large_50pct,Typo,0.0,0.0,0.0
lv_xlmr_large_50pct,Abbr,0.9481865285,0.8356164384,0.8883495146
lv_xlmr_large_100pct,ExtPos,0.9136690647,0.9071428571,0.9103942652
lv_xlmr_large_100pct,Case,0.9803346052,0.9730800606,0.976693862
lv_xlmr_large_100pct,Gender,0.9735168838,0.9652344228,0.9693579617
lv_xlmr_large_100pct,Number,0.9823100937,0.9728058625,0.977534877
lv_xlmr_large_100pct,Person,0.9875212706,0.9768094258,0.9821361414
lv_xlmr_large_100pct,PronType,0.9861855089,0.9705882353,0.9783247098
lv_xlmr_large_100pct,Evident,0.9879550321,0.9821713677,0.9850547104
lv_xlmr_large_100pct,Mood,0.9852325868,0.9739659367,0.9795668665
lv_xlmr_large_100pct,Polarity,0.9946043165,0.9885297185,0.9915577139
lv_xlmr_large_100pct,Tense,0.972826087,0.9688768606,0.9708474576
lv_xlmr_large_100pct,VerbForm,0.9907040536,0.9845524761,0.9876186859
lv_xlmr_large_100pct,Voice,0.9921532847,0.9837163018,0.9879167802
lv_xlmr_large_100pct,Definite,0.9766914859,0.9757438551,0.9762174405
lv_xlmr_large_100pct,Degree,0.9894566099,0.9857258282,0.9875876956
lv_xlmr_large_100pct,Poss,1.0,0.9838709677,0.9918699187
lv_xlmr_large_100pct,NumType,0.9961389961,0.7701492537,0.8686868687
lv_xlmr_large_100pct,Reflex,0.9935064935,0.9849785408,0.9892241379
lv_xlmr_large_100pct,Aspect,0.9882537197,0.9867083659,0.9874804382
lv_xlmr_large_100pct,Foreign,0.9743589744,0.8,0.8786127168
lv_xlmr_large_100pct,Typo,0.25,0.0384615385,0.0666666667
lv_xlmr_large_100pct,Abbr,0.9113300493,0.8447488584,0.8767772512
