model,dep_type,p,r,f
lv_spacy_cnn_20pct,nmod,0.5976216814,0.5573897343,0.576805018
lv_spacy_cnn_20pct,ccomp,0.4553903346,0.397082658,0.4242424242
lv_spacy_cnn_20pct,obl,0.4367716875,0.4475895621,0.4421144605
lv_spacy_cnn_20pct,nummod,0.6229508197,0.3986013986,0.4861407249
lv_spacy_cnn_20pct,case,0.7968652038,0.7919003115,0.794375
lv_spacy_cnn_20pct,iobj,0.396875,0.2899543379,0.3350923483
lv_spacy_cnn_20pct,advmod,0.6254148886,0.6949420443,0.6583478912
lv_spacy_cnn_20pct,acl,0.4981132075,0.4306688418,0.4619422572
lv_spacy_cnn_20pct,advmod:emph,0.5486381323,0.5090252708,0.5280898876
lv_spacy_cnn_20pct,advmod:neg,0.4347826087,0.3846153846,0.4081632653
lv_spacy_cnn_20pct,cop,0.5242070117,0.6555323591,0.5825602968
lv_spacy_cnn_20pct,aux:pass,0.8515625,0.5093457944,0.6374269006
lv_spacy_cnn_20pct,nsubj:pass,0.5283018868,0.2204724409,0.3111111111
lv_spacy_cnn_20pct,parataxis,0.1333333333,0.0540540541,0.0769230769
lv_spacy_cnn_20pct,appos,0.2173913043,0.0746268657,0.1111111111
lv_spacy_cnn_20pct,dep,0.0091463415,0.0288461538,0.0138888889
lv_spacy_cnn_20pct,flat,0.4142857143,0.3536585366,0.3815789474
lv_spacy_cnn_20pct,csubj,0.3456790123,0.2745098039,0.306010929
lv_spacy_cnn_20pct,flat:foreign,0.0,0.0,0.0
lv_spacy_cnn_20pct,orphan,0.1666666667,0.0693069307,0.0979020979
lv_spacy_cnn_20pct,flat:name,0.6597938144,0.1767955801,0.2788671024
lv_spacy_cnn_20pct,vocative,0.0,0.0,0.0
lv_spacy_cnn_20pct,reparandum,0.0,0.0,0.0
lv_spacy_cnn_20pct,compound,0.0,0.0,0.0
lv_spacy_cnn_20pct,goeswith,0.0,0.0,0.0
lv_spacy_cnn_20pct,dislocated,0.0,0.0,0.0
lv_spacy_cnn_20pct,csubj:pass,0.0,0.0,0.0
lv_spacy_cnn_50pct,mark,0.7959442332,0.8241469816,0.8098001289
lv_spacy_cnn_50pct,fixed,0.884057971,0.8714285714,0.8776978417
lv_spacy_cnn_50pct,nsubj,0.7366760168,0.7573900505,0.7468894419
lv_spacy_cnn_50pct,discourse,0.6215213358,0.4897660819,0.5478331971
lv_spacy_cnn_50pct,advcl,0.5656192237,0.4657534247,0.510851419
lv_spacy_cnn_50pct,amod,0.7553252735,0.7142079477,0.7341913822
lv_spacy_cnn_50pct,obj,0.78546471,0.7223650386,0.7525945765
lv_spacy_cnn_50pct,cc,0.7965425532,0.7876397107,0.7920661157
lv_spacy_cnn_50pct,det,0.7796086509,0.8255179935,0.8019067797
lv_spacy_cnn_50pct,conj,0.5018248175,0.5137786081,0.507731364
lv_spacy_cnn_50pct,xcomp,0.6787072243,0.6723163842,0.6754966887
lv_spacy_cnn_50pct,aux,0.8623188406,0.9260700389,0.8930581614
lv_spacy_cnn_50pct,root,0.7792628595,0.7976782753,0.7883630404
lv_spacy_cnn_50pct,nmod,0.7399103139,0.7234975497,0.7316118936
lv_spacy_cnn_50pct,ccomp,0.6409395973,0.6191247974,0.6298433636
lv_spacy_cnn_50pct,nummod,0.8085106383,0.7972027972,0.8028169014
lv_spacy_cnn_50pct,case,0.8789209536,0.8728971963,0.8758987183
lv_spacy_cnn_50pct,iobj,0.5141318977,0.4360730594,0.4718962322
lv_spacy_cnn_50pct,advmod,0.7520242915,0.7829293994,0.7671657202
lv_spacy_cnn_50pct,obl,0.5881121808,0.6214064573,0.6043010753
lv_spacy_cnn_50pct,advmod:emph,0.6861313869,0.678700361,0.6823956443
lv_spacy_cnn_50pct,acl,0.6015748031,0.6231647635,0.6121794872
lv_spacy_cnn_50pct,advmod:neg,0.5,0.6538461538,0.5666666667
lv_spacy_cnn_50pct,csubj,0.625,0.4411764706,0.5172413793
lv_spacy_cnn_50pct,cop,0.6192236599,0.6993736952,0.6568627451
lv_spacy_cnn_50pct,aux:pass,0.8934010152,0.8224299065,0.8564476886
lv_spacy_cnn_50pct,nsubj:pass,0.8,0.6614173228,0.724137931
lv_spacy_cnn_50pct,parataxis,0.4526315789,0.3873873874,0.4174757282
lv_spacy_cnn_50pct,appos,0.3783783784,0.2089552239,0.2692307692
lv_spacy_cnn_50pct,dep,0.027173913,0.0480769231,0.0347222222
lv_spacy_cnn_50pct,flat,0.5454545455,0.3658536585,0.4379562044
lv_spacy_cnn_50pct,orphan,0.2,0.099009901,0.1324503311
lv_spacy_cnn_50pct,flat:name,0.721875,0.638121547,0.6774193548
lv_spacy_cnn_50pct,flat:foreign,0.0,0.0,0.0
lv_spacy_cnn_50pct,csubj:pass,0.5,0.4166666667,0.4545454545
lv_spacy_cnn_50pct,vocative,0.0,0.0,0.0
lv_spacy_cnn_50pct,reparandum,0.0,0.0,0.0
lv_spacy_cnn_50pct,compound,0.0,0.0,0.0
lv_spacy_cnn_50pct,goeswith,0.0,0.0,0.0
lv_spacy_cnn_50pct,dislocated,0.0,0.0,0.0
lv_spacy_cnn_100pct,mark,0.8452380952,0.8385826772,0.8418972332
lv_spacy_cnn_100pct,fixed,0.8506493506,0.9357142857,0.8911564626
lv_spacy_cnn_100pct,nsubj,0.8107129931,0.8074981975,0.809102402
lv_spacy_cnn_100pct,discourse,0.6785079929,0.5584795322,0.612670409
lv_spacy_cnn_100pct,advcl,0.597972973,0.5388127854,0.5668534828
lv_spacy_cnn_100pct,amod,0.8002250985,0.7740881873,0.786939679
lv_spacy_cnn_100pct,obj,0.8199595415,0.7814910026,0.8002632445
lv_spacy_cnn_100pct,cc,0.8022121015,0.8106508876,0.8064094179
lv_spacy_cnn_100pct,det,0.8563596491,0.8516902944,0.8540185894
lv_spacy_cnn_100pct,conj,0.5900759946,0.6165343298,0.6030150754
lv_spacy_cnn_100pct,xcomp,0.7978723404,0.7062146893,0.7492507493
lv_spacy_cnn_100pct,aux,0.8901515152,0.9143968872,0.9021113244
lv_spacy_cnn_100pct,root,0.8363412633,0.8453565506,0.8408247423
lv_spacy_cnn_100pct,nmod,0.7696985052,0.7835955636,0.7765848671
lv_spacy_cnn_100pct,ccomp,0.7008,0.7098865478,0.7053140097
lv_spacy_cnn_100pct,nummod,0.845323741,0.8216783217,0.8333333333
lv_spacy_cnn_100pct,case,0.9093769666,0.9003115265,0.9048215404
lv_spacy_cnn_100pct,iobj,0.574185766,0.5433789954,0.5583577713
lv_spacy_cnn_100pct,advmod,0.7809712587,0.8303477345,0.8049029622
lv_spacy_cnn_100pct,obl,0.669241254,0.6514816453,0.6602420439
lv_spacy_cnn_100pct,advmod:emph,0.7251908397,0.6859205776,0.7050092764
lv_spacy_cnn_100pct,acl,0.6993127148,0.6639477977,0.6811715481
lv_spacy_cnn_100pct,advmod:neg,0.56,0.5384615385,0.5490196078
lv_spacy_cnn_100pct,cop,0.74375,0.745302714,0.7445255474
lv_spacy_cnn_100pct,aux:pass,0.9117647059,0.8691588785,0.8899521531
lv_spacy_cnn_100pct,nsubj:pass,0.807860262,0.7283464567,0.7660455487
lv_spacy_cnn_100pct,parataxis,0.5052631579,0.4324324324,0.4660194175
lv_spacy_cnn_100pct,appos,0.38,0.2835820896,0.3247863248
lv_spacy_cnn_100pct,dep,0.0367647059,0.0480769231,0.0416666667
lv_spacy_cnn_100pct,csubj:pass,0.5,0.1666666667,0.25
lv_spacy_cnn_100pct,csubj,0.6593406593,0.5882352941,0.621761658
lv_spacy_cnn_100pct,flat,0.6949152542,0.5,0.5815602837
lv_spacy_cnn_100pct,orphan,0.2686567164,0.1782178218,0.2142857143
lv_spacy_cnn_100pct,flat:foreign,1.0,0.0833333333,0.1538461538
lv_spacy_cnn_100pct,flat:name,0.8274760383,0.7154696133,0.7674074074
lv_spacy_cnn_100pct,vocative,0.1764705882,0.1034482759,0.1304347826
lv_spacy_cnn_100pct,reparandum,0.0,0.0,0.0
lv_spacy_cnn_100pct,compound,0.6666666667,0.6666666667,0.6666666667
lv_spacy_cnn_100pct,goeswith,0.0,0.0,0.0
lv_spacy_cnn_100pct,dislocated,0.0,0.0,0.0
lv_xlmr_base_1pct,mark,0.7829839704,0.8333333333,0.8073744437
lv_xlmr_base_1pct,fixed,0.0,0.0,0.0
lv_xlmr_base_1pct,nsubj,0.7404952912,0.7653208363,0.7527034214
lv_xlmr_base_1pct,discourse,0.5415162455,0.2192982456,0.3121748179
lv_xlmr_base_1pct,advcl,0.3689320388,0.2313546423,0.2843779233
